SKU,Category,SubCategory,Specification,MRP,imgurl4,Description,Variant,productname,Description2,imgurl7,imgurl6,imgurl5,stock,imgurl3,imgurl2,imgurl1,Size
8.90334E+12,,Rucksacks," 45 liters , 1280 grams , 22"" x 17"" x 8"" , 420D Nylon Dobby, 210D Nylon Double Ripstop. , Rucksacks , 40-60 liters , Men  Women , Daytrip  Hiking and Trekking , Adventure , Yes ",3495,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009917_Large_Top.jpg,"
	A day trip, short hike or trek, the 45 litre Techpack is the perfect companion for your outing. The pack features a sleeping bag/carry mat carrier at the base & a detachable angular waist belt. The sturdy & durable pack made of Nylon fabric comes in the colour choices of Black & Orange.",Black;Orange,Techpack 45 Outdoor Adventure Laptop Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Compression straps at the top and bottom to manage loads better.
		Balloon shaped top accessible front pocket for more space.
		Daisy chain for hanging carabiners and accessories.
		Sturdy webbing loops for walking stick and ice axe.
		Mesh pockets on the sides lets you carry water bottle and accessories.
		Detachable angular waist belt.
		Shoulder weight and width adjusters provided on the shoulder pads.
		Sternum straps allow adjustment to an individual’s chest size.
		Ergonomically designed removable Aluminium stay for back support.
		Generously padded back shoulder pads and waist belt.
		Bar tacked on specialized machines for increased durability.
		Quality zippers and runners.
		 ",,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009917_Large_Inside.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009917_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009917_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/large/8903338009917_large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009917_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 580 grams , 30 liters , 420D Nylon Dobby, 210D Nylon Double Ripstop. , 21"" x 12"" x 7.5"" , Rucksacks , Nylon , 20-40 liters , Men , Daytrip  Hiking and Trekking , Adventure , No ",2095,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_Top.jpg,"
	 

	Trails, runs, day trips or rides the 30 litre Rock rucksack suits all your outdoor needs. Designed with dual compression straps on the side, padded shoulders & back for added comfort & numerous other features that make your trip easier, this pack is available in 3 colours blue, red & grey.",Blue;Grey;Red,Rock Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Dual Compression straps on the sides.
		Adjustable shoulder and straps.
		Pocket on the hood.
		Cabin ready.
		Snow skirt.
		Side air mesh pockets.
		Padded shoulders and back for added comfort.
		Daisy chain and one Ice Axe loop on the front.
		Reinforced haul loop.
		Hydration Pouch Access.
		Bar tacked on specialized machines for increased durability
		Quality zippers and runners.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Rock-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_Inside.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005469_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 2420 grams , 70 liters , 420D Nylon Dobby, 420D Nylon Oxford , 33"" x 16"" x 8"" , Rucksacks , Nylon , 60 to 70+ liters , Men , Hiking and Trekking , Adventure , No ",7295,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_Side2.jpg,"
	 

	Himayalan Expedition or summiting a difficult peak, the70 litre Zanskar is designed for the tempestuous outdoors. It also can be easily expanded to accommodate more gear. The padded haul loop on the side, even converts this pack into a duffle!",Black,Zanskar Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Top and front loading.
		Shoulder weight and width adjusters provided on the shoulder pads.
		Snow skirt.
		Reinforced haul loop.
		Compression straps at the top and bottom to manage loads better.
		Concealed zippered pocket on hood.
		Internal Flat pocket.
		Expandable capacity.
		Zippered horizontal front pocket.
		Detachable angular waist belt and shoulder straps.
		Generously padded back shoulder pads and waist belt.
		Padded haul loop on the side allows conversion to duffle.
		Zippered back cover.
		Bar tacked on specialized machines for increased durability
		Quality zippers and runners.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/zanskar.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_Bottom.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_Top.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_FrontAngle.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338314103_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 1010 grams , 35 liters , 420D Nylon Dobby, 210D Nylon Double Ripstop. , 28"" x 11"" x 7"" , Rucksacks , Nylon , 20-40 liters , Men , Hiking and Trekking , Adventure , No ",2795,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_Inside.jpg,"
	 

	Designed for hikes, treks & expeditions, the 40 litre Rock & Ice rucksack features a zippered pocket on the hood, a bungee cord lock at the top for carrying a sleeping bag or a carry mat, attached waist straps that are adjustable & padded. Rock & Ice comes in shades of Green, Orange & Yellow.",Green;Yellow;Orange,Rock And Ice Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		
		
		
		
		
		
		
		
		
		
		",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Rock-&-Ice-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_BackAngle.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_Front.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338005445_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 710 Grams , 20"" x 16"" x 6"" , 420D Nylon Dobby, 210D Nylon Double Ripstop , 30 , Daytrip  Hiking and Trekking , Yes ",2195,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_Top.jpg,"
	Hiking, day trips, walks or the great outdoors - the Jazz makes the outdoors simple. Featuring padded sleeve, back & base, the Jazz helps minimize damage due to impact. Mesh pockets on the sides for carrying water, internal organizer for essentials, Jazz is the perfect for all outdoor needs.
	",Green;Red;Orange,Jazz  Outdoor Adventure Laptop Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Compatible up to 16” Laptop.
		Front Loading.
		Padded sleeve back and base helps minimize damage due to impact.
		Air mesh and padding on the back and shoulder straps for carrying comfort.
		Specially designed channels on the back allow air circulation and minimize perspiration while carrying.
		Mesh pockets on the sides lets you carry water bottle and accessories.
		Functional organizer on the inside gives more space for your accessories.
		Compression straps at the top and bottom to manage loads better.
		Front balloon pocket.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Jazz.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_Inside.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002024_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," Dimension : 27''X11.5''X8''(HXWXD) , 1190 Grms , 210 Nylon Double Rip Stop , 40 , Rucksacks , Unisex , Camping  Hiking and Trekking , Adventure ",2995,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013624_Large_BackAngle.jpg,"The 40 Litre Outrider is the perfect pack for vacations, treks, or any long hauls in the outdoors. The front loading feature of this pack simply makes stuffing this pack with all your travel requirements all the more easier! Made of the durable Nylon fabric, this pack is resilient, sturdy and tough as the outdoors it is made for.",Green;Red;Orange,Outrider 40 Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	",,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013617_Large_FrontAngle.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013624_Large_Back.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013624_Large_Front.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013624_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013624_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 2180 grams , 60 , 420D Nylon Dobby, 210D Nylon Double Ripstop. , 32"" x 10"" x 12"" , Rucksacks , Nylon , 60 to 70+ liters , Men , Hiking and Trekking , Adventure , No ",6095,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106ThumbanilModel1.jpg,"
	 

	Created for the capricious outdoors the 60 litre Cauvery rucksack features a sleeping bag carrier on the hood, provision of loops for a walking stick & ice axe, many other provisions that makes your outdoor trip easier. This pack is available in 3 colours blue, red & yellow.",Blue;Red;Yellow,Cauvery 60 Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	Zippered rain cover pocket at the base. (with rain cover).Shoulder weight and width adjusters provided on the shoulder pads.Torso Adjuster.Snow skirt.Reinforced haul loop.Walking stick and Ice Axe loops.Compression straps at the top and bottom to manage loads better.Concealed zippered pocket on hood.Carry mat straps at the base.Internal Flat pocket.Detachable hood.Attached waist straps.Generously padded back shoulder pads and waist belt.Webbing on waist belt for carabiners and accessories.Side air mesh pockets.Bar tacked on specialized machines for increased durability.Quality zippers and runners.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Cauvery-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106ThumbanilTop1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106ThumbanilModel2.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106ThumbanilSide2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106LargeSide1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338313106ThumbanilSide2.jpg,
8.90334E+12,,Rucksacks," 30x14x8 , 2360 Gms , 420 Nylon Dobby | 210 Nylon Double Ripstop , 60 Liters , Rucksacks , Hiking and Trekking , Adventure ",5995,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_Side2.jpg,"Head for a mountaineering trip with the 60 litre Karakoram rucksack. Featuring a bottom zippered compartment that stores a sleeping bag, the Karakoram also has provision loops for a walking stick or an ice axe, made of the sturdy nylon fabric this pack can endure the toughest of hauls.",Black;Blue;Red,Karakoram Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	",,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_Bottom1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_Top1.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_BackAngle1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338012191_Large_FrontAngle1.jpg,
8.90334E+12,,Rucksacks," Dimension : 27''X11.5''X9''(HXWXD) , 45 , 210 Nylon Double Rip Stop , Rucksacks , Unisex , Camping , Adventure ",3395,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013662_Large_BackAngle.jpg,"Long treks, extended travel or a long vacation, head out with the Odyssey Outride. This 45 Litre Pack is desigened to deal all the tough outdoor hauls. The front loading feature of this pack simply makes stuffing this pack with all your travel requirements all the more easier! Made of the durable Nylon fabric, this pack is resilient, sturdy and tough as the outdoors its is made for.",Green;Red,Odyssey 45 Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	",,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013648_Large_FrontAngle.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013662_Thumbnaol_Back.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013662_Large_Front.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013662_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338013662_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 560 grams , 28 liters , 210D Nylon Double Ripstop / 420D Nylon Dobby , 20"" x 13"" x 6"" , Rucksacks , Nylon , 20-40 liters , Men  Women , Daytrip  Hiking and Trekking , Adventure , No ",1995,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_Top1.jpg,"
	An easy to use front loading pack, the Pack Y is perfect for short hikes, runs & cycling trips. This pack features specially designed channels on the back of the pack, which allows air circulation & reduces perspiration. The Pack Y comes in shades of Black, Blue & Yellow.",Black;Blue;Yellow,Pack Y Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Front Loading.
		Can be used for Running or short Hiking Trekking and Cycling trips.
		Side air mesh pockets.
		Padded shoulder straps and back for carrying comfort.
		Reinforced haul loop.
		Compression straps at the top and bottom to manage loads better.
		Front flat zippered mesh pocket.
		Specially designed channels on the back allow air circulation and minimize perspiration while carrying.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Pack-Y-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_Inside1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_Bottom1.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002260_Large_FrontAngle1.jpg,
8.90334E+12,,Rucksacks," 20 liters , 290 grams , 18.5"" x 6"" x 12.5"" , 210D Nylon Double Ripstop. , Rucksacks , 0-20 liters , Men  Women , Daytrip  Hiking and Trekking , Adventure , No ",1295,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_Top.jpg,"
	A day trip or trek, carry the Nuptse wherever you go! Featuring a quick access front pocket, removable back padding, which in turn can be used as a sitting mat or simply to make the pack more compressible, the Nuptse is simply perfect for all your outdoor ventures and requirements.",Green;Yellow;Orange,Nuptse 20 Outdoor Rucksacks,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Quick access front ‘V’ dart gusseted pocket stops stored items from falling out.
		Removable back padding used as sitting mat or for making bag more compressible.
		Daisy chain for quick draw accessories.
		Haul loop.
		Reflective tape.
		Bar tacked on specialized machines for increased durability.
		Quality zippers and runners.
						",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Nupste20.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_Inside.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338009672_Large_FrontAngle.jpg,
8.90334E+12,,Backpacks," 33 , 430 grams , 18"" x 13"" x 8.5"" , 450D Polyester Ripstop, 600D Polyester Oxford, YKK Runners &amp Zippers. , Backpacks , 20-40 liters , Men  Women , Backpacking , Campus &amp Youth , No ",1395,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_Top.jpg,"
	Whatever the trails or the urban outdoors might dish out, the Wiki 6.13 durable, lightweight and resilient can simply handle it all! A dual compartment backpack, the Wiki 6.13 features an easy front access pocket for accessories, side mesh pockets & padded shoulder straps & back.",Maroon;Black;Blue;Grey;Red,Wiki 6.13  Campus Backpack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Double compartment backpack.
		Side mesh pocket for water bottle.
		Front easy access pocket for accessories.
		Padded shoulder straps and back for carrying comfort.
		Reinforced haul loop.
		Light Weight Backpack.
		Material – 450D/600D Polyester.
		Bar tacked on specialized machines for increased durability.
		YKK Zippers and Runners.
		 ",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Wiki6.13.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_Inside.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338011484_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 1550 grams , 45 liters , 420D Nylon Dobby, 210D Nylon Double Ripstop. , 28"" x13"" x 8"" , Rucksacks , Nylon , 40-60 liters , Men  Women , Hiking and Trekking , Adventure , No ",3795,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_Bottom.jpg,"
	 

	Head out for a trek or a backcountry tour with the 45 litre Savan D. Featuring a zippered rain cover pocket at the base, shoulder height & depth adjusters on the shoulder pads this pack is perfect for all your outdoor needs. This pack comes in shades of blue, grey & red.",Blue;Grey;Red,Savan D Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		Zippered rain cover pocket at the base. (without rain cover).
		Shoulder weight and width adjusters provided on the shoulder pads.
		Snow skirt.
		Reinforced haul loop.
		Elasticized sleeping bag carrier on hood.
		Walking stick and Ice Axe loops.
		Compression straps at the top and bottom to manage loads better.
		Concealed zippered pocket on hood.
		Internal Flat pocket.
		Detachable angular waist belt.
		Generously padded back shoulder pads and waist belt.
		Webbing on waist belt for carabiners and accessories.
		Front Balloon pocket.
		Side flat mesh pockets.
		Bar tacked on specialized machines for increased durability.
		Quality zippers and runners.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Savan-D-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_Front.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_Inside.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338002413_Large_FrontAngle.jpg,
8.90334E+12,,Rucksacks," 1700 grams , 50 liters , 420D Nylon Dobby, 210D Nylon Double Ripstop. , 29"" x 8"" x 12"" , Rucksacks , Nylon , 40-60 liters , Men  Women , Expedition  Hiking and Trekking , Adventure , No ",3995,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_Top.jpg,"
	 

	Designed to suit the difficult, tough rides & trails of the outdoors, the Trailblazer features adjustable shoulder straps, sternum straps for better balance, loops for ice axe & a snow skirt which ensures easy & quick access. This durable pack is available in 3 colours blue, orange & red.",Blue;Red;Orange,Trailblazer Outdoor Adventure Rucksack,"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
		“D” Ring on shoulder straps for carabiners.
		Dual Compression straps on the sides.
		Snow skirt.
		Two Daisy chains on the front.
		Adjustable shoulder strap.
		Adjustable waist belt with pocket.
		Sternum straps.
		Hood with gusseted pocket.
		Sleeping mat carrier.
		Two ice axe loops on the front.
		Reinforced haul loop.
		Two aluminium stays.
		Padded shoulders waist and back for added comfort.
		Balloon pockets on the sides.
		Elasticized cord lock.
		Internal zippered pocket in the hood.
		Bar tacked on specialized machines for increased durability
		Quality zippers and runners.",http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/userimages/Trailblazer-web.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_Front.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_Bottom.jpg,Stock Available,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_Side2.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_Side1.jpg,http://martjackstorage.blob.core.windows.net/in-resources/5ce37242-239b-4986-b57c-5ca85e320542/Images/ProductImages/Large/8903338319009_Large_FrontAngle.jpg,
